parameter,Estimate,Est.Error,Q2.5,Q97.5
"r_fml[Oxytomidae,pocn_temp_scaled]",-0.03489826502942913,1.435337533073192,-3.1702978473014123,2.937323851249579
"r_fml[Parallelodontidae,pocn_temp_scaled]",-0.016340059484146963,1.4378651865284242,-2.9459197025475232,2.9514269872738286
"r_fml[Pectinidae,pocn_temp_scaled]",-0.006363727818388353,1.4733430406187138,-3.0484936765796298,3.078599666410495
"r_fml[Pharidae,pocn_temp_scaled]",0.0047662293067868705,1.4038093842178352,-2.9369732398912256,3.020805734642993
"r_fml[Pholadomyidae,pocn_temp_scaled]",0.01012820190255978,1.4501742404403244,-2.9063597356584627,3.0417823402013053
"r_fml[Pinnidae,pocn_temp_scaled]",-0.001583062084772097,1.44626598330831,-3.0481906760453894,3.0215059498702956
"r_fml[Plagioptychidae,pocn_temp_scaled]",-0.06970390561728215,1.4098210727345573,-3.317406579378386,2.639696698548816
"r_fml[Pleuromyidae,pocn_temp_scaled]",0.01077081893472363,1.4627809532162408,-3.0596119046283303,3.06519990457711
"r_fml[Plicatulidae,pocn_temp_scaled]",0.015838134900598776,1.495681288092195,-3.000112490192673,3.1802746623171374
"r_fml[Poromyidae,pocn_temp_scaled]",-0.01431451101999293,1.4251292542797964,-3.1458117184568315,3.009229208495282
"r_fml[Propeamussiidae,pocn_temp_scaled]",0.019848265252116856,1.4877716788770208,-2.8476506506142845,3.224378298868389
"r_fml[Radiolitidae,pocn_temp_scaled]",-0.09685330769444556,1.425330614281147,-3.2718783247831555,2.5785791571788925
"r_fml[Sareptidae,pocn_temp_scaled]",0.02710241818018059,1.4535511962628924,-2.965961256611148,3.207840005661373
"r_fml[Spondylidae,pocn_temp_scaled]",0.0457858416329142,1.5301665200819592,-3.0439030119734363,3.3254146924758676
"r_fml[Steinmanellidae,pocn_temp_scaled]",-0.004806340246295327,1.4378961989202017,-2.903577837145771,3.0222423792378748
"r_fml[Tancrediidae,pocn_temp_scaled]",0.00575875071929362,1.456863505349095,-2.9175232295948663,3.065743782535285
"r_fml[Tellinidae,pocn_temp_scaled]",0.005923206456277824,1.446160970037521,-3.0211621703050127,3.063283662579565
"r_fml[Terquemiidae,pocn_temp_scaled]",0.0034106817112207156,1.5357177539944686,-3.21053839595861,3.1936537981782593
"r_fml[Thyasiridae,pocn_temp_scaled]",-0.040170896235370374,1.3999570982985978,-3.1485185765725427,2.8105955909287093
"r_fml[Trechmannellidae,pocn_temp_scaled]",0.015664473943237823,1.4311352464507008,-3.174263907518615,3.1111651016547106
"r_fml[Trigoniidae,pocn_temp_scaled]",-0.031873313690975104,1.3774290572203878,-2.9841296773325467,2.759028106551799
"r_fml[Unionidae,pocn_temp_scaled]",-0.03495662694381895,1.4139130684989338,-3.297708741057387,2.956521249909878
"r_fml[Veneridae,pocn_temp_scaled]",-0.030236405347317984,1.424094453260258,-3.057241673489896,2.9417367790455002
