pos_n,row_n,row_n_fixed,col_n,col_n_fixed,row,col,distance
7136716,1968,1969,2716,2716,nucula semistriata,nuculana semibistriata,4
7217008,1990,1991,3258,3258,cunearca silverdalensis,arca silverdalensis,4
7301799,2014,2015,1049,1049,ostrea puruensis,ostrea parrensis,4
7381776,2036,2037,1276,1276,ostrea praelonga,ostrea prona,4
7497001,2068,2069,501,501,venericardia minuta,venericardia nasuta,4
7573287,2089,2090,662,662,nucula narica,nuculana prisca,4
7599596,2096,2097,1596,1596,lucina narica,lucina inca,4
7654680,2111,2112,2305,2305,ostrea minbuensis,ostrea minerensis,4
7717569,2128,2129,3569,3569,lima obsoleta,lima beta,4
7751459,2138,2139,1209,1209,lima rara,limea riparia,4
7884524,2175,2176,149,149,tellina planata,tellina leana,4
7900560,2179,2180,1685,1685,ostrea dorsalis,ostrea normalis,4
8084292,2230,2231,542,542,ostrea arrosis,ostrea paroxis,4
8084799,2230,2231,1049,1049,ostrea arrosis,ostrea parrensis,4
8102696,2235,2236,821,821,venericardia greggiana,venericardia regia,4
8159141,2250,2251,2891,2891,clisocolus corrugatus,clisocolus cordatus,4
8211273,2265,2266,648,648,tellina alta,tellina patula,4
8247151,2275,2276,276,276,lucina fischeriana,buchia fischeriana,4
8354112,2304,2305,2112,2112,ostrea minerensis,ostrea minbuensis,4
8503607,2345,2346,2982,2982,meekia sella,meekia louella,4
8601482,2372,2373,2982,2982,meekia bella,meekia louella,4
8707148,2401,2402,3523,3523,crassatella oenana,crassatella lomana,4
8821318,2433,2434,1693,1693,pecten alcesianus,pecten ceibanus,4
8844935,2439,2440,3560,3560,tellina dowlingi,aucellina dowlingi,4
9022393,2488,2489,3393,3393,nucula andersoni,nucula nelsoni,4
9037670,2493,2494,545,545,venericardia carmenensis,venericardia carsonensis,4
9153618,2525,2526,493,493,venericardia parinensis,venericardia carolinensis,4
9231983,2546,2547,2733,2733,chlamys duncanensis,chlamys durchanaensis,4
9596234,2647,2648,859,859,tellina temperata,tellina emacerata,4
9719072,2681,2682,447,447,ostrea carolinensis,etea carolinensis,4
9725278,2682,2683,3028,3028,tellina subequalis,tellina aequalis,4
9805836,2705,2706,211,211,inoceramus gibbosus,inoceramus fibrosus,4
9843844,2715,2716,1969,1969,nuculana semibistriata,nucula semistriata,4
9906047,2732,2733,2547,2547,chlamys durchanaensis,chlamys duncanensis,4
10165089,2804,2805,589,589,panopaea elongata,panopea oblongata,4
10287185,2837,2838,3060,3060,arca koerti,arca bogaerti,4
10307516,2843,2844,1641,1641,tellina serrata,tellina segregata,4
10478501,2890,2891,2251,2251,clisocolus cordatus,clisocolus corrugatus,4
10808471,2981,2982,2346,2346,meekia louella,meekia sella,4
10808498,2981,2982,2373,2373,meekia louella,meekia bella,4
10975558,3027,3028,2683,2683,tellina aequalis,tellina subequalis,4
11091713,3059,3060,2838,2838,arca bogaerti,arca koerti,4
11248545,3103,3104,170,170,nuculana acutilineata,nuculana multilineata,4
11808616,3257,3258,1991,1991,arca silverdalensis,cunearca silverdalensis,4
11956031,3298,3299,781,781,venericardia waynensis,venericardia aizyensis,4
12123298,3344,3345,1298,1298,diplodonta polita,diplodonta alta,4
12224040,3372,3373,540,540,spondylus rugosus,spondylus dumosus,4
12232319,3374,3375,1569,1569,cucullaea lirata,cucullaea alta,4
12250250,3379,3380,1375,1375,lucina dalli,lucina diaboli,4
12298489,3392,3393,2489,2489,nucula nelsoni,nucula andersoni,4
12452322,3435,3436,447,447,leda carolinensis,etea carolinensis,4
12769652,3522,3523,2402,2402,crassatella lomana,crassatella oenana,4
12890432,3555,3556,3557,3557,calva regina,calva marina,4
12894056,3556,3557,3556,3556,calva marina,calva regina,4
12903815,3559,3560,2440,2440,aucellina dowlingi,tellina dowlingi,4
12936129,3568,3569,2129,2129,lima beta,lima obsoleta,4
